Name,Role_Type,Role,Affiliation,ORCID,Primary_Fields,Keywords,Subfields_Specialties,Methods_Techniques,Distinctions,Expertise,Keck_Affiliation,Keck_Affiliation_Details
Beth L. Pruitt,Research Program Staff,Chief Science Officer,W.M. Keck Foundation / University of California Santa Barbara (on leave),https://orcid.org/0000-0002-4861-2124,Mechanical Engineering; Bioengineering; Mechanobiology; Microfabrication; Biophysics,mechanobiology; MEMS; Wnt/beta-catenin mechanosensing; iPSC stem cell models; sensory neuroscience mechanobiology,Cell mechanobiology; Mechanosensing and force-sensitive pathways; Wnt/beta-catenin mechanotransduction and cell cycle (mechanical strain → Wnt3A activation); MEMS/microsystems for biology; Stem cell-derived cardiomyocytes (hiPSC-CM maturation; disease modeling; cardiotoxicity); Cell-cell and cell-ECM adhesion mechanics; Cardiac biomechanics; Sensory mechanobiology (touch; hearing; C. elegans mechanosensory neurons); Microfabricated force sensors; Single-cell biophysics; Tissue mechanics and stem cell fate; Positional cue mechanosensing,MEMS fabrication; Microfabricated cantilever force sensors; Traction force microscopy; Cell stretcher devices; Micropatterning; Live-cell imaging; High-throughput single-cell assays; CRISPR/Cas9 iPSC engineering; Patch clamp electrophysiology,Fellow AAAS; Fellow BMES; Fellow AIMBE; Fellow ASME; NSF CAREER Award; DARPA Young Faculty Award; Denice Denton Leadership Award; BMES Chris Jacobs Leadership Award,Mechanobiology; MEMS/microfabrication; cell mechanics and force sensing; iPSC-derived cardiomyocyte models; cardiac biomechanics. Work spans Wnt/beta-catenin mechanotransduction; mechanically regulated cell cycle entry; sensory mechanobiology including touch-sensitive neurons and hearing mechanosensors; and cardiac biomechanics in iPSC-cardiomyocyte models. Expertise extends into neuroscience; stem cells; and cardiology contexts. Relevant across S&E and Medical Research proposals in biophysics; bioengineering; cell biology; regenerative mechanobiology; and sensory neuroscience.,Research Program Staff,
Justin Gallivan,Research Program Staff,Senior Program Director Science & Engineering,W.M. Keck Foundation,,Chemistry; Synthetic Biology; Biotechnology; Chemical Biology,synthetic biology; riboswitches; microbiome engineering; living materials; directed evolution,Synthetic riboswitches; Aptamer-based gene regulation; Bacterial chemotaxis reprogramming; Microbiome engineering; Living materials; Directed evolution; Environmental biosensors and bioremediation; Biodefense and dual-use biotechnology,Riboswitch engineering; In vitro selection (SELEX); Flow cytometry-based genetic screens; High-throughput screening; Bacterial chemotaxis assays; Cell-free transcription/translation; Directed evolution; Metabolic engineering; Molecular cloning,NIH NRSA Postdoctoral Fellowship; Beckman Young Investigator; Sloan Fellow; Dreyfus Teacher-Scholar; Kavli Frontiers in Science Fellow,Synthetic biology; RNA-based gene regulation in bacteria (riboswitches; aptamers); microbiome engineering; living materials; directed evolution; environmental biosensors. Research expertise is specifically in prokaryotic RNA synthetic biology — not mammalian RNA biology or eukaryotic gene regulation. Relevant for S&E proposals in synthetic biology; chemical biology; and microbiology.,Research Program Staff,
Kevin Moses,Research Program Staff,Senior Program Director,W.M. Keck Foundation,,Developmental Biology; Genetics; Neuroscience; Science Philanthropy,Drosophila genetics; conserved developmental signaling; Wnt/Notch/Hedgehog; transcription factors; developmental neuroscience,Drosophila eye development and morphogenetic furrow progression; Photoreceptor cell fate specification; EGF receptor/MAP kinase signaling (conserved across metazoa); Hedgehog signaling in development and adult tissue maintenance; Wingless/Wnt pathway in stem cell niche and tissue patterning; Notch/EGF receptor crosstalk in cell fate decisions; Fragile X (FMR1/FMRP); microRNA-FMRP interaction; Adult tissue regeneration signaling (Wnt; Notch; Hedgehog are core regenerative pathways); Morphogen gradients and positional information systems; Stem cell niche signaling,Drosophila genetics; Forward and reverse genetic screens; Mosaic analysis (FLP/FRT); Immunohistochemistry; Confocal microscopy; In situ hybridization; Molecular cloning; Transgenic Drosophila,SERC/NATO Postdoctoral Fellowship; NIH Postdoctoral Fellowship; Caroline Spitzer Fellow (ACS),Drosophila developmental genetics with deep expertise in conserved signaling pathways (Wnt/Wingless; Hedgehog; Notch; EGF/MAPK) that are central to mammalian tissue regeneration; adult stem cell niches; and positional identity. Extensive grant program leadership across major science philanthropy organizations has built broad evaluative expertise spanning developmental; cell; and systems biology. Can evaluate genetic and signaling logic of regenerative biology proposals as well as developmental neuroscience; Drosophila disease models; and genetics broadly. Relevant for S&E and Medical Research proposals in developmental biology; regenerative biology; stem cell signaling; neuroscience; and genetics.,Research Program Staff,
Jean J. Kim,Research Program Staff,Senior Program Director Medical Research,W.M. Keck Foundation / Baylor College of Medicine,,Neuroscience; Stem Cell Biology; Molecular & Cellular Biology; Disease Modeling,iPSC disease modeling; neuronal differentiation; stem cell biology; neurodevelopmental disorders; iPSC-derived neurons for neurological disease,Human iPSC-based disease modeling; Autism spectrum disorder mechanisms; Neurodevelopmental disorders (MECP2 Duplication Syndrome; TANGO2-deficiency); Cardiac arrhythmia modeling in iPSC-derived cardiomyocytes; Directed neuronal differentiation for neurological and neurodegenerative disease models; iPSC platform services for Alzheimer's; Parkinson's; HD; and ALS researchers; Chromatin regulation in neuroblastoma; Epigenetic reprogramming; Pluripotency; Synapse formation and function in hiPSC-derived neurons,iPSC derivation and characterization; Directed neuronal differentiation; Immunohistochemistry; Molecular cloning; Ribosome profiling; RNA-seq; CRISPR/Cas9; Electrophysiology (iPSC-cardiomyocytes); Flow cytometry; Confocal microscopy,NIH F31 Predoctoral Fellowship (Yale),Human iPSC disease modeling and platform-level expertise in neuronal differentiation applicable across neurodevelopmental and neurodegenerative disease contexts. Platform-level iPSC expertise includes neuronal differentiation across a broad range of neurological disease contexts; from neurodevelopmental disorders through major neurodegenerative diseases. Can evaluate iPSC methodology quality; neuronal differentiation protocol rigor; and disease-modeling approach for any neurological proposal; but is not a specialist in AD molecular biology (tau; amyloid; microglial activation). Relevant for Medical Research proposals in neuroscience; stem cell biology; genetic disease modeling; and neurodegenerative disease iPSC platforms.,Research Program Staff,
Sean R. Eddy,Consultant,Professor of Molecular & Cellular Biology,Harvard University,https://orcid.org/0000-0001-6676-4706,Computational Biology; Bioinformatics; Evolutionary Genomics; RNA Biology,HMMER; sequence homology; profile HMMs; noncoding RNA; comparative genomics,Biological sequence analysis; Hidden Markov models; Protein homology detection; RNA secondary structure prediction; Genome annotation; Noncoding RNA gene identification; Stochastic context-free grammars; Evolutionary sequence analysis; Neural cell-type genomics,Profile hidden Markov models (HMMER/Infernal); Stochastic context-free grammars; Bayesian probabilistic inference; Large-scale genome annotation; Comparative genome analysis; Multiple sequence alignment,HHMI Investigator (2000–2022); Fellow Academy of Science of St. Louis,Computational methods for genome and RNA sequence analysis; HMMER and Infernal software for sequence homology detection; probabilistic modeling of protein and RNA families; genome annotation and evolutionary analysis of noncoding RNAs. Relevant for S&E and Medical Research proposals in computational genomics; RNA biology; and bioinformatics.,,
Katherine S. Pollard,Consultant,Director Gladstone Institute of Data Science & Biotechnology; Professor of Epidemiology & Biostatistics,Gladstone Institutes / University of California San Francisco,https://orcid.org/0000-0002-9870-6196,Computational Biology; Bioinformatics; Evolutionary Genomics; Statistical Genomics,comparative genomics; human accelerated regions; microbiome metagenomics; regulatory enhancers; machine learning genomics,Human Accelerated Regions (HARs); Comparative and functional genomics; Regulatory enhancer identification; Microbiome metagenomics; DNA shape and chromatin folding; Statistical methods for omics data; Evolutionary conservation and acceleration; Gene expression analysis; Single-cell genomics; Epigenomics,Statistical phylogenetic methods; Machine learning for regulatory sequence; Massively parallel reporter assays; CRISPR screens; Metagenomic abundance quantification; Longitudinal omics modeling; Open-source bioinformatics tool development,NAM member; Fellow AAAS; Fellow International Society for Computational Biology; Fellow AIMBE; Fellow California Academy of Sciences; Chan Zuckerberg Biohub Investigator; Sloan Research Fellowship,Develops statistical and computational methods for comparative genomics; metagenomics; and regulatory genomics; pioneered Human Accelerated Regions as a framework for understanding human-specific evolution; strong in machine learning integration of large-scale genomic datasets. Relevant for S&E and Medical Research proposals in bioinformatics; evolutionary genomics; and regulatory biology.,,
Gene W. Yeo,Consultant,Professor of Cellular and Molecular Medicine,University of California San Diego,https://orcid.org/0000-0002-0799-6037,RNA Biology; Computational Biology; Genomics; Neuroscience; RNA Therapeutics,RNA binding proteins; eCLIP; alternative splicing; RNA therapeutics; CRISPR-RNA targeting,RNA binding protein (RBP) mapping; Post-transcriptional gene regulation; Alternative splicing in stem cells and brain; RNA processing in neurodegeneration; eCLIP and STAMP methodology; Stress granule biology; m6A epitranscriptomics; CRISPR/Cas RNA targeting; iPSC neuronal models; Repeat expansion disorders,eCLIP (enhanced CLIP); STAMP (single-cell translation and protein-RNA interaction); CLIPper/SKIPPER peak calling; MaxENT splice site scoring; iPSC neuronal differentiation; Computational RBP interactome analysis; CRISPR-based RNA targeting in vivo,Alfred P. Sloan Research Fellowship; International RNA Society Early Career Award; Crick-Jacobs Fellow (inaugural),Hybrid computational and experimental lab focused on RNA binding proteins; post-transcriptional regulation; and RNA-targeted therapeutics; developed eCLIP as a world-standard for mapping protein-RNA interactions; applies iPSC and organoid models to neurodegeneration. Relevant for S&E and Medical Research proposals in RNA biology; neurodegeneration; genomics; and RNA therapeutics.,,
Trey Ideker,Consultant,Professor of Medicine; Bioengineering; and Computer Science,University of California San Diego,https://orcid.org/0000-0002-1708-8454,Systems Biology; Computational Biology; Cancer Biology; Bioinformatics; Network Medicine,protein interaction networks; systems biology; epigenetic aging clock; cancer network maps; Cytoscape,Protein-protein and genetic interaction networks; Network-based disease modeling; Epigenetic aging and DNA methylation clocks; Cancer cell map initiative; CRISPR synthetic lethality mapping; Deep learning models of cell structure; Precision oncology; Multi-scale cell imaging and network fusion; Network biomarkers for patient stratification,Cytoscape network analysis; CRISPR/Cas9 synthetic-lethal mapping; Protein interaction mapping; Multiscale cell imaging with immunofluorescence; Deep learning on biological networks; Hierarchical network decomposition; Epigenetic clock modeling; Multi-omics integration,Fellow AAAS; Fellow AIMBE; Fellow International Society for Computational Biology; ICSB Overton Prize 2009; Highly Cited Researcher (Clarivate 2020–2024),Pioneered theory and practice of systems biology including protein network mapping; epigenetic aging clocks; and AI-driven precision oncology. Developer of widely used network analysis tools for biology; leads large-scale collaborative programs in cancer systems biology and biomedical AI. Relevant for S&E and Medical Research proposals in systems biology; cancer genomics; network medicine; and computational biology.,,
Jason E. Stajich,Consultant,Professor of Microbiology & Plant Pathology,University of California Riverside,https://orcid.org/0000-0002-7591-0020,Evolutionary Genomics; Mycology; Microbial Genomics; Computational Biology; Phylogenomics,fungal genomics; phylogenomics; microbial evolution; comparative genomics; transposable elements,Fungal evolutionary genomics; Comparative fungal genomes (zygomycetes; chytrids; Aspergillus; Coccidioides; Fusarium); Fungal-animal pathogen interactions; Transposable element dynamics; Microbiome genomics; Soil and extremophile fungi; Plant-fungal interactions; Population genomics of pathogens; Genome assembly and annotation,Genome sequencing and assembly; Comparative genomics; Phylogenetic inference; Population genomics; RNA-seq transcriptomics; Transposon analysis; Metagenomics; Open-source bioinformatics tool development (Phyling; FGMP),C. J. Alexopoulos Prize (Mycological Society of America); Miller Institute for Basic Research Postdoctoral Fellowship,Fungal evolutionary and comparative genomics; phylogenomics; microbial-host interactions; population genetics of fungal pathogens including Coccidioides and Aspergillus; open-source bioinformatics tool development. Relevant for S&E and Medical Research proposals in microbial genomics; infectious disease; ecology; and evolutionary biology.,,
Paul D. Thomas,Consultant,Professor of Population and Public Health Sciences,University of Southern California,https://orcid.org/0000-0002-9074-3507,Computational Biology; Bioinformatics; Functional Genomics; Evolutionary Biology,PANTHER; Gene Ontology; protein function prediction; phylogenomics; ancestral genome reconstruction,Protein family phylogenomics (PANTHER); Gene Ontology curation and functional annotation; Phylogenetic propagation of gene function; Human genome gene prediction and annotation; Protein sequence-function evolution; Ancestral genome reconstruction; Gene function enrichment analysis; Ortholog inference,PANTHER phylogenomics software; Gene Ontology Phylogenetic Annotation (PAINT); Bayesian function inference; Hidden Markov models for protein families; InterProScan integration; Large-scale omics enrichment analysis,Director Gene Ontology Consortium; Human Genome Project contributor (first human genome sequencing paper 2001),PANTHER developer and Gene Ontology Consortium director; expertise in protein function inference from evolutionary relationships; genome-scale annotation of gene function; and statistical enrichment analysis for omics datasets. Relevant for S&E and Medical Research proposals in functional genomics; protein biology; and computational biology.,,
Sheng Li,Consultant,Associate Professor of Biochemistry & Molecular Medicine,University of Southern California Keck School of Medicine,https://orcid.org/0000-0002-6258-3147,Computational Biology; Cancer Epigenomics; Hematology; Bioinformatics; Aging Biology,cancer epigenomics; DNA methylation; clonal hematopoiesis; single-cell multi-omics; leukemia,Cancer epigenomics and DNA methylation heterogeneity; Clonal hematopoiesis and leukemia evolution; Single-cell multi-omics; Spatial transcriptomics; Long-read sequencing epigenomics; Hematopoietic stem cell aging; Tumor microenvironment; Cellular senescence; Transcription factor regulatory networks,Single-cell RNA-seq and ATAC-seq; Spatial transcriptomics; Nanopore long-read DNA methylation; Hi-C chromatin conformation; CRISPR epigenome editing; Machine learning for multi-omics integration; Tumor heterogeneity computational analysis,LLS Career Development Program Scholar Award; AACR NextGen Star; NIH MIRA (Maximizing Investigators' Research Award),Develops AI-driven computational methods for cancer epigenomics and hematopoietic stem cell aging; expertise in DNA methylation; clonal hematopoiesis; and single-cell multi-omics; applies long-read sequencing to epigenetic variation. Relevant for Medical Research proposals in cancer biology; hematology; epigenomics; and stem cell aging.,,
B.S. Manjunath,Consultant,Professor of Electrical & Computer Engineering,University of California Santa Barbara,,Image Analysis; Bioimage Informatics; Computer Vision; Multimedia Computing,bioimage informatics; image segmentation; BisQue platform; texture analysis; multimodal data,Bioimage analysis and informatics; Image segmentation and registration; Texture and shape analysis; Biological image databases; Microscopy image processing; Neuron morphology analysis; Cell tracking; High-dimensional feature extraction; Steganography and image security; Remote sensing image analysis,Bioimage segmentation; BisQue open-source image informatics platform; Content-based image retrieval; Convolutional deep learning for images; Biological image annotation; 3D/4D microscopy data management; MPEG-7 multimedia representation,Director NSF Bio-Image Informatics Center; 24 patents; MPEG-7 co-editor,Bioimage informatics; image segmentation; analysis and retrieval of microscopy data; developer of BisQue platform for large-scale biological image management and analysis; expert in texture and shape analysis for biological images. Relevant for S&E and Medical Research proposals requiring quantitative microscopy; high-content imaging analysis; or large-scale image data infrastructure.,,
Nina Miolane,Consultant,Assistant Professor of Electrical & Computer Engineering,University of California Santa Barbara,,Geometric Deep Learning; Computational Biology; Biomedical Imaging; Applied Mathematics; AI for Science,geometric deep learning; shape analysis; cryo-EM reconstruction; Riemannian geometry; computational anatomy,Geometric statistics for biomedical imaging; Protein and cell shape analysis; Cryo-electron microscopy reconstruction; Membrane protein structure; Equivariant and topological deep learning; Riemannian geometry in machine learning; Computational anatomy; Women's brain health imaging; Geomstats library,Geometric deep learning (equivariant networks); Shape descriptor computation; Cryo-EM 3D reconstruction; Riemannian manifold statistics; Topological data analysis; Python Geomstats library; Computer vision for biological shapes,L'Oréal-UNESCO for Women in Science Award; NSF CAREER Award; NIH R01,Geometric AI for biomedical shape analysis; develops mathematical and deep learning methods for quantifying biological shapes at molecular to organ scale; expert in cryo-EM reconstruction; membrane protein structure; and geometric statistics for imaging. Relevant for S&E and Medical Research proposals involving quantitative imaging; cryo-EM; structural biology; and AI-driven image analysis.,,
Craig E. Manning,Consultant,Distinguished Professor of Geology and Geochemistry,University of California Los Angeles,,Geology; Geochemistry; Petrology; Metamorphic Petrology; Experimental Petrology,high-pressure aqueous geochemistry; metamorphic petrology; subduction fluids; hydrothermal systems; fluid-rock interaction,High-pressure aqueous geochemistry; Metamorphic petrology; Experimental petrology; Subduction zone fluid chemistry; Mid-ocean ridge hydrothermal systems; Fluid-rock interaction in lower crust; Mineral solubility in water; Volatiles in crustal fluids; Permeability and fluid flow; Deep carbon cycle; Cenozoic magma-hydrothermal systems; Tectonometamorphic evolution of central Asia,High-pressure/high-temperature piston-cylinder experiments; Phase equilibria; Mineral solubility measurements; Fluid inclusion analysis; Stable isotope geochemistry; Electron microprobe; Field-based metamorphic petrology,Fellow American Geophysical Union; Fellow Mineralogical Society of America; AGU Norman Bowen Award 2017; Distinguished Professor UCLA,Experimental geochemist specializing in high-pressure aqueous geochemistry; fluid-rock interaction in the deep crust and subduction zones; mineral solubility; metamorphic petrology; and the deep carbon cycle. Relevant for S&E proposals in geochemistry; earth science; experimental petrology; and crustal fluid systems.,,
Aydogan Ozcan,Consultant,Chancellor's Professor and Volgenau Chair for Engineering Innovation; HHMI Professor,University of California Los Angeles,,Computational Imaging; Electrical Engineering; Biomedical Engineering; Photonics; AI for Science,computational imaging; lensless microscopy; deep learning optics; mobile diagnostics; biophotonics,Lensless and on-chip computational microscopy; Deep learning for optical imaging and sensing; Mobile diagnostics and point-of-care technologies; Holographic imaging; Fluorescence microscopy; AI-enhanced pathology; Optical computing; Telemedicine and global health sensing; Bio-sensing; Nanophotonic sensor arrays,Lensless (lensfree) microscopy; Holographic reconstruction; Deep learning neural network image processing; Smartphone-based diagnostic device engineering; Wide-field fluorescence imaging; In silico staining; Digital pathology; Optical coherence tomography,NAE Member (2025); HHMI Professor; Fellow AAAS; Fellow IEEE; Fellow AIMBE; Fellow SPIE; Fellow APS; PECASE; Dennis Gabor Award (SPIE) 2023; Joseph Fraunhofer Award (Optica) 2022; NSF CAREER Award; NIH Director's New Innovator Award; Guggenheim Fellow,Pioneered computational imaging platforms combining optics; deep learning; and mobile sensing for diagnostics; lensless microscopy; AI-driven virtual staining; and point-of-care technologies. Relevant for S&E and Medical Research proposals in optical engineering; computational microscopy; AI for imaging; and biomedical diagnostics.,,
